  JD		  x [m]		  y [m]		  z [m]   
  0.0000000e+00   1.5871475e+06   4.3494998e+06   4.7905862e+06
   1.1574074e-03   1.0172487e+06   4.0307118e+06   5.2110071e+06
   2.3148148e-03   4.3372922e+05   3.6579643e+06   5.5614647e+06
   3.4722222e-03  -1.5558443e+05   3.2363799e+06   5.8374569e+06
   4.6296296e-03  -7.4283150e+05   2.7717177e+06   6.0355260e+06
   5.7870370e-03  -1.3202289e+06   2.2702833e+06   6.1532936e+06
   6.9444444e-03  -1.8801785e+06   1.7388337e+06   6.1894795e+06
   8.1018519e-03  -2.4153689e+06   1.1844776e+06   6.1439033e+06
   9.2592593e-03  -2.9188702e+06   6.1457455e+05   6.0174709e+06
   1.0416667e-02  -3.3842208e+06   3.6633193e+04   5.8121471e+06
   1.1574074e-02  -3.8055059e+06  -5.4178999e+05   5.5309140e+06
   1.2731481e-02  -4.1774268e+06  -1.1131894e+06   5.1777181e+06
   1.3888889e-02  -4.4953602e+06  -1.6702062e+06   4.7574060e+06
   1.5046296e-02  -4.7554082e+06  -2.2057196e+06   4.2756508e+06
   1.6203704e-02  -4.9544383e+06  -2.7129340e+06   3.7388697e+06
   1.7361111e-02  -5.0901123e+06  -3.1854589e+06   3.1541343e+06
   1.8518519e-02  -5.1609063e+06  -3.6173836e+06   2.5290754e+06
   1.9675926e-02  -5.1661195e+06  -4.0033438e+06   1.8717829e+06
   2.0833333e-02  -5.1058737e+06  -4.3385807e+06   1.1907017e+06
   2.1990741e-02  -4.9811034e+06  -4.6189916e+06   4.9452683e+05
   2.3148148e-02  -4.7935366e+06  -4.8411730e+06  -2.0790353e+05
   2.4305556e-02  -4.5456666e+06  -5.0024537e+06  -9.0771402e+05
   2.5462963e-02  -4.2407167e+06  -5.1009201e+06  -1.5960967e+06
   2.6620370e-02  -3.8825967e+06  -5.1354327e+06  -2.2644131e+06
   2.7777778e-02  -3.4758539e+06  -5.1056337e+06  -2.9042931e+06
   2.8935185e-02  -3.0256167e+06  -5.0119472e+06  -3.5077291e+06
   3.0092593e-02  -2.5375346e+06  -4.8555706e+06  -4.0671657e+06
   3.1250000e-02  -2.0177123e+06  -4.6384589e+06  -4.5755841e+06
   3.2407407e-02  -1.4726409e+06  -4.3633014e+06  -5.0265798e+06
   3.3564815e-02  -9.0912538e+05  -4.0334925e+06  -5.4144351e+06
   3.4722222e-02  -3.3420903e+05  -3.6530945e+06  -5.7341846e+06
   3.5879630e-02   2.4490434e+05  -3.2267951e+06  -5.9816737e+06
   3.7037037e-02   8.2093026e+05  -2.7598590e+06  -6.1536109e+06
   3.8194444e-02   1.3865853e+06  -2.2580722e+06  -6.2476115e+06
   3.9351852e-02   1.9346702e+06  -1.7276824e+06  -6.2622348e+06
   4.0509259e-02   2.4581539e+06  -1.1753316e+06  -6.1970121e+06
   4.1666667e-02   2.9502588e+06  -6.0798436e+05  -6.0524663e+06
   4.2824074e-02   3.4045452e+06  -3.2849778e+04  -5.8301213e+06
   4.3981481e-02   3.8149960e+06   5.4270209e+05  -5.5325015e+06
   4.5138889e-02   4.1760994e+06   1.1112288e+06  -5.1631188e+06
   4.6296296e-02   4.4829295e+06   1.6653089e+06  -4.7264477e+06
   4.7453704e-02   4.7312221e+06   2.1976391e+06  -4.2278865e+06
   4.8611111e-02   4.9174452e+06   2.7011339e+06  -3.6737039e+06
   4.9768519e-02   5.0388630e+06   3.1690275e+06  -3.0709714e+06
   5.0925926e-02   5.0935889e+06   3.5949738e+06  -2.4274797e+06
   5.2083333e-02   5.0806288e+06   3.9731451e+06  -1.7516411e+06
   5.3240741e-02   4.9999108e+06   4.2983256e+06  -1.0523779e+06
   5.4398148e-02   4.8523004e+06   4.5659974e+06  -3.3899803e+05
   5.5555556e-02   4.6396000e+06   4.7724175e+06   3.7893892e+05
   5.6712963e-02   4.3645318e+06   4.9146827e+06   1.0917639e+06
   5.7870370e-02   4.0307040e+06   4.9907804e+06   1.7898446e+06
   5.9027778e-02   3.6425608e+06   4.9996246e+06   2.4637336e+06
   6.0185185e-02   3.2053167e+06   4.9410750e+06   3.1043130e+06
   6.1342593e-02   2.7248770e+06   4.8159391e+06   3.7029348e+06
   6.2500000e-02   2.2077466e+06   4.6259579e+06   4.2515509e+06
   6.3657407e-02   1.6609289e+06   4.3737753e+06   4.7428320e+06
   6.4814815e-02   1.0918174e+06   4.0628915e+06   5.1702726e+06
   6.5972222e-02   5.0808340e+05   3.6976043e+06   5.5282799e+06
   6.7129630e-02  -8.2439199e+04   3.2829375e+06   5.8122458e+06
   6.8287037e-02  -6.7186839e+05   2.8245600e+06   6.0186016e+06
   6.9444444e-02  -1.2523864e+06   2.3286974e+06   6.1448554e+06
   7.0601852e-02  -1.8163478e+06   1.8020369e+06   6.1896118e+06
   7.1759259e-02  -2.3563825e+06   1.2516293e+06   6.1525758e+06
   7.2916667e-02  -2.8654911e+06   6.8478795e+05   6.0345410e+06
   7.4074074e-02  -3.3371336e+06   1.0898725e+05   5.8373628e+06
   7.5231481e-02  -3.7653084e+06  -4.6823797e+05   5.5639190e+06
   7.6388889e-02  -4.1446235e+06  -1.0393915e+06   5.2180577e+06
   7.7546296e-02  -4.4703567e+06  -1.5971115e+06   4.8045342e+06
   7.8703704e-02  -4.7385075e+06  -2.1342627e+06   4.3289383e+06
   7.9861111e-02  -4.9458377e+06  -2.6440229e+06   3.7976127e+06
   8.1018519e-02  -5.0899025e+06  -3.1199645e+06   3.2175645e+06
   8.2175926e-02  -5.1690709e+06  -3.5561292e+06   2.5963700e+06
   8.3333333e-02  -5.1825367e+06  -3.9470953e+06   1.9420749e+06
   8.4490741e-02  -5.1303186e+06  -4.2880379e+06   1.2630917e+06
   8.5648148e-02  -5.0132519e+06  -4.5747805e+06   5.6809355e+05
   8.6805556e-02  -4.8329698e+06  -4.8038387e+06  -1.3409174e+05
   8.7962963e-02  -4.5918770e+06  -4.9724544e+06  -8.3458806e+05
   8.9120370e-02  -4.2931147e+06  -5.0786225e+06  -1.5245757e+06
   9.0277778e-02  -3.9405184e+06  -5.1211081e+06  -2.1953940e+06
   9.1435185e-02  -3.5385690e+06  -5.0994552e+06  -2.8386399e+06
   9.2592593e-02  -3.0923377e+06  -5.0139881e+06  -3.4462635e+06
   9.3750000e-02  -2.6074258e+06  -4.8658038e+06  -4.0106577e+06
   9.4907407e-02  -2.0899000e+06  -4.6567571e+06  -4.5247432e+06
   9.6064815e-02  -1.5462231e+06  -4.3894390e+06  -4.9820473e+06
   9.7222222e-02  -9.8318234e+05  -4.0671474e+06  -5.3767767e+06
   9.8379630e-02  -4.0781356e+05  -3.6938518e+06  -5.7038836e+06
   9.9537037e-02   1.7267620e+05  -3.2741513e+06  -5.9591254e+06
   1.0069444e-01   7.5098872e+05  -2.8132271e+06  -6.1391175e+06
   1.0185185e-01   1.3198163e+06  -2.3167879e+06  -6.2413777e+06
   1.0300926e-01   1.8719248e+06  -1.7910108e+06  -6.2643646e+06
   1.0416667e-01   2.4002382e+06  -1.2424755e+06  -6.2075063e+06
