   JD		  x [m]		  y [m]		  z [m]
   0.0000000e+00  -5.6051076e+03  -2.9027657e+03   4.5365087e+03
   1.1574074e-03  -5.7800504e+03  -3.4656422e+03   3.8627425e+03
   2.3148148e-03  -5.8772765e+03  -3.9807563e+03   3.1388970e+03
   3.4722222e-03  -5.8958768e+03  -4.4413178e+03   2.3751788e+03
   4.6296296e-03  -5.8360749e+03  -4.8414008e+03   1.5822356e+03
   5.7870370e-03  -5.6991923e+03  -5.1760084e+03   7.7098293e+02
   6.9444444e-03  -5.4875981e+03  -5.4411199e+03  -4.7563512e+01
   8.1018519e-03  -5.2046456e+03  -5.6337197e+03  -8.6244699e+02
   9.2592593e-03  -4.8545978e+03  -5.7518094e+03  -1.6629191e+03
   1.0416667e-02  -4.4425451e+03  -5.7944070e+03  -2.4385781e+03
   1.1574074e-02  -3.9743167e+03  -5.7615314e+03  -3.1794957e+03
   1.2731481e-02  -3.4563869e+03  -5.6541770e+03  -3.8763324e+03
   1.3888889e-02  -2.8957774e+03  -5.4742760e+03  -4.5204400e+03
   1.5046296e-02  -2.2999577e+03  -5.2246532e+03  -5.1039531e+03
   1.6203704e-02  -1.6767438e+03  -4.9089707e+03  -5.6198675e+03
   1.7361111e-02  -1.0341956e+03  -4.5316651e+03  -6.0621058e+03
   1.8518519e-02  -3.8051618e+02  -4.0978791e+03  -6.4255712e+03
   1.9675926e-02   2.7604850e+02  -3.6133853e+03  -6.7061876e+03
   2.0833333e-02   9.2730658e+02  -3.0845069e+03  -6.9009266e+03
   2.1990741e-02   1.5652136e+03  -2.5180341e+03  -7.0078226e+03
   2.3148148e-02   2.1819612e+03  -1.9211380e+03  -7.0259749e+03
   2.4305556e-02   2.7700596e+03  -1.3012837e+03  -6.9555379e+03
   2.5462963e-02   3.3224145e+03  -6.6614357e+02  -6.7977015e+03
   2.6620370e-02   3.8323962e+03  -2.3511161e+01  -6.5546609e+03
   2.7777778e-02   4.2939026e+03   6.1878228e+02  -6.2295779e+03
   2.8935185e-02   4.7014142e+03   1.2529488e+03  -5.8265357e+03
   3.0092593e-02   5.0500427e+03   1.8713211e+03  -5.3504863e+03
   3.1250000e-02   5.3355732e+03   2.4664269e+03  -4.8071948e+03
   3.2407407e-02   5.5545001e+03   3.0310588e+03  -4.2031783e+03
   3.3564815e-02   5.7040582e+03   3.5583420e+03  -3.5456422e+03
   3.4722222e-02   5.7822492e+03   4.0417977e+03  -2.8424143e+03
   3.5879630e-02   5.7878638e+03   4.4754056e+03  -2.1018754e+03
   3.7037037e-02   5.7205016e+03   4.8536637e+03  -1.3328876e+03
   3.8194444e-02   5.5805863e+03   5.1716473e+03  -5.4471884e+02
   3.9351852e-02   5.3693788e+03   5.4250672e+03   2.5303720e+02
   4.0509259e-02   5.0889860e+03   5.6103285e+03   1.0505469e+03
   4.1666667e-02   4.7423649e+03   5.7245870e+03   1.8378299e+03
   4.2824074e-02   4.3333204e+03   5.7658064e+03   2.6048604e+03
   4.3981481e-02   3.8664956e+03   5.7328114e+03   3.3416785e+03
   4.5138889e-02   3.3473510e+03   5.6253378e+03   4.0385113e+03
   4.6296296e-02   2.7821321e+03   5.4440754e+03   4.6859042e+03
   4.7453704e-02   2.1778213e+03   5.1907017e+03   5.2748609e+03
   4.8611111e-02   1.5420730e+03   4.8679023e+03   5.7969907e+03
   4.9768519e-02   8.8313081e+02   4.4793762e+03   6.2446588e+03
   5.0925926e-02   2.0972482e+02   4.0298212e+03   6.6111363e+03
   5.2083333e-02  -4.6904920e+02   3.5248977e+03   6.8907441e+03
   5.3240741e-02  -1.1438680e+03   2.9711690e+03   7.0789847e+03
   5.4398148e-02  -1.8053329e+03   2.3760177e+03   7.1726563e+03
   5.5555556e-02  -2.4441326e+03   1.7475377e+03   7.1699432e+03
   5.6712963e-02  -3.0512098e+03   1.0944059e+03   7.0704774e+03
   5.7870370e-02  -3.6179281e+03   4.2573519e+02   6.8753673e+03
   5.9027778e-02  -4.1362318e+03  -2.4908552e+02   6.5871922e+03
   6.0185185e-02  -4.5987931e+03  -9.2055944e+02   6.2099617e+03
   6.1342593e-02  -4.9991422e+03  -1.5792518e+03   5.7490410e+03
   6.2500000e-02  -5.3317751e+03  -2.2159564e+03   5.2110469e+03
   6.3657407e-02  -5.5922382e+03  -2.8218524e+03   4.6037173e+03
